,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,text,Against Biden,Favor Biden,None Biden,Against Trump,Favor Trump,None Trump
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0," West Virginia, Get Out and Vote for Patrick Morrisey for Attorney General! He has my Complete and Total Endorsement! h…",0.0281222481280565,0.646622359752655,0.3252553939819336,0.3054655492305755,0.0609678067266941,0.6335666179656982
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0, Hunter Biden emails show leveraging connections with his father to boost Burisma pay  …,0.1165608838200569,0.3194971084594726,0.563942015171051,0.2680130898952484,0.0571559555828571,0.6748308539390564
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, Was excited to get out the vote for  this weekend and talk about how the President’s policies are helping W…,0.0342129655182361,0.3759918808937073,0.5897951722145081,0.2403418272733688,0.0334458649158477,0.7262123227119446
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0, Those who have relentlessly tried to destroy  have been willfully blind to the genuine LOVE the American…,0.1300303936004638,0.1948443353176117,0.6751253604888916,0.4855484664440155,0.163800910115242,0.3506506681442261
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"Scranton, PA? Isn’t that “Biden Country”?! :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: ",0.1205771043896675,0.337439626455307,0.5419833064079285,0.3464884757995605,0.0487115159630775,0.6047999858856201
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0," West Virginia, Get Out and Vote for Patrick Morrisey for Attorney General! He has my Complete and Total Endorsement!",0.032498475164175,0.6264276504516602,0.3410738706588745,0.4080506563186645,0.0518783666193485,0.5400709509849548
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0," If you need information on how or where to VOTE, click below! #MAGA ",0.6256282329559326,0.0695225372910499,0.3048491775989532,0.130410611629486,0.5182633996009827,0.3513259589672088
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0, This is amazing ! :United_States::United_States::United_States:  Linemen for ! ,0.0686198398470878,0.141647070646286,0.7897331118583679,0.1059110760688781,0.1266877651214599,0.7674011588096619
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0, :United_States::United_States: ,0.0794768556952476,0.1845160871744156,0.736007034778595,0.1018241271376609,0.0839973241090774,0.814178466796875
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0, will be building on her popular election night partnership with fellow  presenter  by reuniting tomorrow to anchor the US election programme. Tune in at 10pm.  #shelaghfogarty #broadcaster #politicalcommentator  #electioncoverage #USElection2020 ,0.0553953200578689,0.1402139514684677,0.8043907880783081,0.1494775712490081,0.0473339669406414,0.8031884431838989
